[TL],skeletal tier,primary POA,secondary POA,tertiary POA,specific C POA,rounding,anteriority,apicality,backness,height,tenseness,manner,voicing,major class,aperture,oral airflow,lateral,nasality,stridency,vocal fold spread,vocal fold constricted
ṉ̥,consonant,coronal,NA,NA,postalveolar,NA,posterior,laminal,NA,NA,NA,nasal stop,voiceless,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
ɳ,consonant,coronal,NA,NA,retroflex,NA,posterior,apical,NA,NA,NA,nasal stop,voiced,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
ɳ̥,consonant,coronal,NA,NA,retroflex,NA,posterior,apical,NA,NA,NA,nasal stop,voiceless,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
t͡s,consonant,coronal,NA,NA,alveolar,NA,anterior,apical,NA,NA,NA,affricate,voiceless,obstruent,contoid,occlusive,not lateral,oral,strident,not spread,not constricted
d͡z,consonant,coronal,NA,NA,alveolar,NA,anterior,apical,NA,NA,NA,affricate,voiced,obstruent,contoid,occlusive,not lateral,oral,strident,not spread,not constricted
t͡ʃ,consonant,coronal,NA,NA,postalveolar,NA,posterior,laminal,NA,NA,NA,affricate,voiceless,obstruent,contoid,occlusive,not lateral,oral,strident,not spread,not constricted
d͡ʒ,consonant,coronal,NA,NA,postalveolar,NA,posterior,laminal,NA,NA,NA,affricate,voiced,obstruent,contoid,occlusive,not lateral,oral,strident,not spread,not constricted
t͡ʂ,consonant,coronal,NA,NA,retroflex,NA,posterior,apical,NA,NA,NA,affricate,voiceless,obstruent,contoid,occlusive,not lateral,oral,strident,not spread,not constricted
d͡ʐ,consonant,coronal,NA,NA,retroflex,NA,posterior,apical,NA,NA,NA,affricate,voiced,obstruent,contoid,occlusive,not lateral,oral,strident,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
c,consonant,dorsal,coronal,NA,palatal,NA,posterior,laminal,front,high,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,not spread,not constricted
ɟ,consonant,dorsal,coronal,NA,palatal,NA,posterior,laminal,front,high,NA,oral stop,voiced,obstruent,contoid,occlusive,not lateral,oral,NA,not spread,not constricted
ç,consonant,dorsal,coronal,NA,palatal,NA,posterior,laminal,front,high,NA,fricative,voiceless,obstruent,contoid,continuant,not lateral,oral,not strident,not spread,not constricted
ʝ,consonant,dorsal,coronal,NA,palatal,NA,posterior,laminal,front,high,NA,fricative,voiced,obstruent,contoid,continuant,not lateral,oral,not strident,not spread,not constricted
ɲ,consonant,dorsal,coronal,NA,palatal,NA,posterior,laminal,front,high,NA,nasal stop,voiced,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
ɲ̥,consonant,dorsal,coronal,NA,palatal,NA,posterior,laminal,front,high,NA,nasal stop,voiceless,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
k,consonant,dorsal,NA,NA,velar,NA,NA,NA,back,high,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,not spread,not constricted
ɡ,consonant,dorsal,NA,NA,velar,NA,NA,NA,back,high,NA,oral stop,voiced,obstruent,contoid,occlusive,not lateral,oral,NA,not spread,not constricted
x,consonant,dorsal,NA,NA,velar,NA,NA,NA,back,high,NA,fricative,voiceless,obstruent,contoid,continuant,not lateral,oral,not strident,not spread,not constricted
ɣ,consonant,dorsal,NA,NA,velar,NA,NA,NA,back,high,NA,fricative,voiced,obstruent,contoid,continuant,not lateral,oral,not strident,not spread,not constricted
ŋ,consonant,dorsal,NA,NA,velar,NA,NA,NA,back,high,NA,nasal stop,voiced,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
ŋ̥,consonant,dorsal,NA,NA,velar,NA,NA,NA,back,high,NA,nasal stop,voiceless,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
kʷ,consonant,dorsal,labial,NA,velar,rounded,NA,NA,back,high,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,not spread,not constricted
ɡʷ,consonant,dorsal,labial,NA,velar,rounded,NA,NA,back,high,NA,oral stop,voiced,obstruent,contoid,occlusive,not lateral,oral,NA,not spread,not constricted
xʷ,consonant,dorsal,labial,NA,velar,rounded,NA,NA,back,high,NA,fricative,voiceless,obstruent,contoid,continuant,not lateral,oral,not strident,not spread,not constricted
ɣʷ,consonant,dorsal,labial,NA,velar,rounded,NA,NA,back,high,NA,fricative,voiced,obstruent,contoid,continuant,not lateral,oral,not strident,not spread,not constricted
ŋʷ,consonant,dorsal,labial,NA,velar,rounded,NA,NA,back,high,NA,nasal stop,voiced,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
ŋ̥ʷ,consonant,dorsal,labial,NA,velar,rounded,NA,NA,back,high,NA,nasal stop,voiceless,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
q,consonant,dorsal,NA,NA,uvular,NA,NA,NA,back,mid,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,not spread,not constricted
ɢ,consonant,dorsal,NA,NA,uvular,NA,NA,NA,back,mid,NA,oral stop,voiced,obstruent,contoid,occlusive,not lateral,oral,NA,not spread,not constricted
χ,consonant,dorsal,NA,NA,uvular,NA,NA,NA,back,mid,NA,fricative,voiceless,obstruent,contoid,continuant,not lateral,oral,strident,not spread,not constricted
ʁ,consonant,dorsal,NA,NA,uvular,NA,NA,NA,back,mid,NA,fricative,voiced,obstruent,contoid,continuant,not lateral,oral,strident,not spread,not constricted
ɴ,consonant,dorsal,NA,NA,uvular,NA,NA,NA,back,mid,NA,nasal stop,voiced,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
ɴ̥,consonant,dorsal,NA,NA,uvular,NA,NA,NA,back,mid,NA,nasal stop,voiceless,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
pʰ,consonant,labial,NA,NA,bilabial,unrounded,NA,NA,NA,NA,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,spread,not constricted
pʷʰ,consonant,labial,NA,NA,bilabial,rounded,NA,NA,NA,NA,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,spread,not constricted
pʲʰ,consonant,labial,dorsal,coronal,bilabial,unrounded,posterior,laminal,front,hiɡh,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,spread,not constricted
t̪ʰ,consonant,coronal,NA,NA,dental,NA,anterior,laminal,NA,NA,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,spread,not constricted
tʰ,consonant,coronal,NA,NA,alveolar,NA,anterior,apical,NA,NA,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,spread,not constricted
ṯʰ,consonant,coronal,NA,NA,postalveolar,NA,posterior,laminal,NA,NA,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,spread,not constricted
